scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,280.405,280.405,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,280.405,280.405,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,280.405,280.405,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,280.405,280.405,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,241.545,241.545,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,271.198,241.545,-12.276387422633462,HEFT
network_hpc_cloud,prism_cc_time,makespan,154.115,156.42,1.47359672676127,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,167.952,156.42,-7.372458764863836,HEFT
network_edge_cloud,prism_cc_time,makespan,192.103,192.103,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,212.537,192.103,-10.63700202495536,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,153.494,155.259,1.1368101044061771,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,makespan,167.983,155.259,-8.19533811244438,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,1034.699,1034.699,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,1034.699,1034.699,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,29.884564,29.884564,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,11.339683,29.884564,62.05504955668753,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,22.303038,21.359152,-4.41911738818095,HEFT
network_hpc_cloud,prism_cc_cost,budget_used,10.713588,21.359152,49.84076146843283,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,28.871275,28.871275,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,1.398444,28.871275,95.15627903513094,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,22.356558,21.278024,-5.068769543638081,HEFT
network_fog_hpc_cloud,prism_cc_cost,budget_used,10.679421,21.278024,49.81009044824839,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
