algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json,interference_percent,algorithm_label
heft_colocation,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.1,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,0.402,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}",[],10.0,HEFT com co-location
prism_cc_cost,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.1,44.664,0.061087,0.411691,44.9088,0.0,0.0,True,0.725,2,17.076,"{""h3-standard-88-1"":8}","{""h3-standard-88-1"":0.007563,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.061087,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""2361db64734ca082"",""weighted_score"":0.061087,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.084142,""budget_violation"":0,""makespan"":38.569,""deadline_violation"":0,""machine_signature"":""78bdac9dea97e704"",""weighted_score"":0.084142,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.343076,""budget_violation"":0,""makespan"":37.424,""deadline_violation"":0,""machine_signature"":""d7091acddb704a6c"",""weighted_score"":0.343076,""diversity_score"":1.5}]",10.0,PRISM-Cost
prism_cc_time,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.1,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,17.076,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.343076,""budget_violation"":0,""makespan"":37.424,""deadline_violation"":0,""machine_signature"":""d7091acddb704a6c"",""weighted_score"":0.837901,""diversity_score"":1.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.084142,""budget_violation"":0,""makespan"":38.569,""deadline_violation"":0,""machine_signature"":""78bdac9dea97e704"",""weighted_score"":0.863537,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.061087,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""2361db64734ca082"",""weighted_score"":1,""diversity_score"":0}]",10.0,PRISM-Time
heft_colocation,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.2,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,0.507,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}",[],20.0,HEFT com co-location
prism_cc_cost,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.2,44.664,0.061085,0.411691,44.9088,0.0,0.0,True,1.45,2,14.619,"{""h3-standard-88-1"":8}","{""h3-standard-88-1"":0.007747,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.061085,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""e157849c9c630f23"",""weighted_score"":0.061085,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.084722,""budget_violation"":0,""makespan"":38.835,""deadline_violation"":0,""machine_signature"":""dfe31863e403ef8b"",""weighted_score"":0.084722,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.343076,""budget_violation"":0,""makespan"":37.424,""deadline_violation"":0,""machine_signature"":""d7091acddb704a6c"",""weighted_score"":0.343076,""diversity_score"":1.5}]",20.0,PRISM-Cost
prism_cc_time,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.2,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,14.619,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.343076,""budget_violation"":0,""makespan"":37.424,""deadline_violation"":0,""machine_signature"":""d7091acddb704a6c"",""weighted_score"":0.837901,""diversity_score"":1.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.084722,""budget_violation"":0,""makespan"":38.835,""deadline_violation"":0,""machine_signature"":""dfe31863e403ef8b"",""weighted_score"":0.869492,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.061085,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""e157849c9c630f23"",""weighted_score"":1,""diversity_score"":0}]",20.0,PRISM-Time
heft_colocation,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.3,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,0.413,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}",[],30.0,HEFT com co-location
prism_cc_cost,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.3,44.664,0.061086,0.411691,44.9088,0.0,0.0,True,2.175,2,15.648,"{""h3-standard-88-1"":8}","{""h3-standard-88-1"":0.007932,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.061086,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""67251f7b35aa00a4"",""weighted_score"":0.061086,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.085307,""budget_violation"":0,""makespan"":39.103,""deadline_violation"":0,""machine_signature"":""17fc512600c0e95d"",""weighted_score"":0.085307,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.343076,""budget_violation"":0,""makespan"":37.424,""deadline_violation"":0,""machine_signature"":""d7091acddb704a6c"",""weighted_score"":0.343076,""diversity_score"":1.5}]",30.0,PRISM-Cost
prism_cc_time,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.3,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,15.648,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.343076,""budget_violation"":0,""makespan"":37.424,""deadline_violation"":0,""machine_signature"":""d7091acddb704a6c"",""weighted_score"":0.837901,""diversity_score"":1.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.085307,""budget_violation"":0,""makespan"":39.103,""deadline_violation"":0,""machine_signature"":""17fc512600c0e95d"",""weighted_score"":0.875493,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.061086,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""67251f7b35aa00a4"",""weighted_score"":1,""diversity_score"":0}]",30.0,PRISM-Time
heft_colocation,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.4,37.424,0.343076,0.411691,44.9088,0.0,0.0,True,0.001,0,0.355,"{""h4d-highmem-192-1"":4,""h4d-standard-192-1"":4}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.001116,""h4d-standard-192-1"":0.000939}",[],40.0,HEFT com co-location
