activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
alignmenttoreferenceid0000001,alignment_to_reference,compute-3,48,1729,663.936000,422.400000,1.571818182,55.295000,86.913686,6.3803
sortsamid0000002,sort_sam,compute-3,48,1729,663.936000,422.400000,1.571818182,80.224000,126.097542,3.5189
dedupid0000003,dedup,compute-3,48,1729,663.936000,422.400000,1.571818182,75.417000,118.541812,5.158
addreplaceid0000004,add_replace,compute-3,48,1729,663.936000,422.400000,1.571818182,69.312000,108.945862,3.8723
realigntargetcreatorid0000005,realign_target_creator,compute-3,48,1729,663.936000,422.400000,1.571818182,171.113000,268.958525,135.3492
indelrealignid0000006,indel_realign,compute-3,48,1729,663.936000,422.400000,1.571818182,117.932000,185.367662,6.5377
haplotypecallerid0000007,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,152.262000,260.783280,53.7744
haplotypecallerid0000008,haplotype_caller,compute-3,48,1729,663.936000,422.400000,1.571818182,61.560000,96.761127,97.4935
haplotypecallerid0000009,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,130.069000,222.772724,42.8088
haplotypecallerid0000010,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,99.948000,171.183665,59.3459
haplotypecallerid0000011,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,83.052000,142.245425,55.8409
haplotypecallerid0000012,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,79.152000,135.565789,60.7679
haplotypecallerid0000013,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,88.501000,151.578076,57.2943
haplotypecallerid0000014,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,90.116000,154.344131,57.962
haplotypecallerid0000015,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,93.989000,160.977524,56.9099
haplotypecallerid0000016,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,100.315000,171.812236,60.5074
haplotypecallerid0000017,haplotype_caller,compute-4,48,1884,723.456000,422.400000,1.712727273,90.893000,155.674920,45.5393
