activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
individualsid0000001,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,56.911000,62.084727,168.9076
individualsid0000002,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,53.589000,58.460727,176.762
individualsid0000003,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,52.265000,57.016364,178.4445
individualsid0000004,individuals,pegasus-4,48,1200,460.800000,422.400000,1.090909091,51.433000,56.108727,170.6356
individualsid0000005,individuals,pegasus-4,48,1200,460.800000,422.400000,1.090909091,52.673000,57.461455,169.3733
individualsid0000006,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,55.212000,60.231273,176.1863
individualsid0000007,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,55.678000,60.739636,172.8492
individualsid0000008,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,58.193000,63.483273,163.3856
individualsid0000009,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,57.136000,62.330182,166.613
individualsid0000010,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,57.574000,62.808000,165.4671
individualsid0000011,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,55.810000,60.883636,169.3765
individualsid0000012,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,54.243000,59.174182,171.9319
individualsid0000013,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,53.122000,57.951273,176.1699
individualsid0000014,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,53.471000,58.332000,177.0249
individualsid0000015,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,51.969000,56.693455,176.9074
individualsid0000016,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,52.866000,57.672000,177.6227
individualsid0000017,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,53.423000,58.279636,176.9257
individualsid0000018,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,53.931000,58.833818,174.9791
individualsid0000019,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,51.833000,56.545091,180.169
individualsid0000020,individuals,pegasus-4,48,1200,460.800000,422.400000,1.090909091,53.374000,58.226182,169.1498
individualsid0000021,individuals,pegasus-4,48,1200,460.800000,422.400000,1.090909091,58.618000,63.946909,163.2809
individualsid0000022,individuals,pegasus-2,48,1432,549.888000,422.400000,1.301818182,56.322000,73.321004,178.3957
individualsid0000023,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,54.869000,59.857091,174.8674
individualsid0000024,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,55.916000,60.999273,170.8867
individualsid0000025,individuals,pegasus-3,48,1200,460.800000,422.400000,1.090909091,61.054000,66.604364,156.1699
individualsmergeid0000026,individuals_merge,pegasus-4,48,1200,460.800000,422.400000,1.090909091,93.995000,102.540000,104.9896
siftingid0000027,sifting,pegasus-2,48,1432,549.888000,422.400000,1.301818182,8.724000,11.357062,26.3755
individualsid0000028,individuals,pegasus-5,48,1200,460.800000,422.400000,1.090909091,54.140000,59.061818,181.0547
individualsid0000029,individuals,pegasus-2,48,1432,549.888000,422.400000,1.301818182,55.163000,71.812196,186.8934
