source,target,data_mb,data_bytes,files
bowtie2-buildid0000001,bowtie2id0000003,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000002,bowtie2id0000003,1355.522608000,1355522608,SRR3177817_1.fastq|SRR3177817_2.fastq
bowtie2-buildid0000001,bowtie2id0000005,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000004,bowtie2id0000005,681.970288000,681970288,SRR3150813_1.fastq|SRR3150813_2.fastq
bowtie2-buildid0000001,bowtie2id0000007,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000006,bowtie2id0000007,1445.379648000,1445379648,SRR3152125_1.fastq|SRR3152125_2.fastq
bowtie2-buildid0000001,bowtie2id0000009,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000008,bowtie2id0000009,1627.467852000,1627467852,SRR1521488_1.fastq|SRR1521488_2.fastq
bowtie2-buildid0000001,bowtie2id0000011,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000010,bowtie2id0000011,2906.294064000,2906294064,SRR1518960_1.fastq|SRR1518960_2.fastq
bowtie2-buildid0000001,bowtie2id0000013,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000012,bowtie2id0000013,2071.368840000,2071368840,SRR1919631_1.fastq|SRR1919631_2.fastq
bowtie2-buildid0000001,bowtie2id0000015,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000014,bowtie2id0000015,3250.234800000,3250234800,SRR1518573_1.fastq|SRR1518573_2.fastq
bowtie2-buildid0000001,bowtie2id0000017,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000016,bowtie2id0000017,1494.432288000,1494432288,SRR3150514_1.fastq|SRR3150514_2.fastq
bowtie2-buildid0000001,bowtie2id0000019,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000018,bowtie2id0000019,964.719328000,964719328,SRR3150513_1.fastq|SRR3150513_2.fastq
bowtie2-buildid0000001,bowtie2id0000021,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000020,bowtie2id0000021,913.390848000,913390848,SRR3152124_1.fastq|SRR3152124_2.fastq
bowtie2-buildid0000001,bowtie2id0000023,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000022,bowtie2id0000023,1051.279648000,1051279648,SRR3150548_1.fastq|SRR3150548_2.fastq
bowtie2-buildid0000001,bowtie2id0000025,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000024,bowtie2id0000025,1477.145648000,1477145648,SRR3177980_1.fastq|SRR3177980_2.fastq
bowtie2-buildid0000001,bowtie2id0000027,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000026,bowtie2id0000027,948.416608000,948416608,SRR3152056_1.fastq|SRR3152056_2.fastq
bowtie2-buildid0000001,bowtie2id0000029,8.526566000,8526566,reference.1.bt2|reference.2.bt2|reference.3.bt2|reference.4.bt2|reference.rev.1.bt2|reference.rev.2.bt2
fasterq-dumpid0000028,bowtie2id0000029,1667.300928000,1667300928,SRR3152098_1.fastq|SRR3152098_2.fastq
