activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
bowtie2-buildid0000001,bowtie2-build,worker-4,48,1200,460.800000,422.400000,1.090909091,2.053000,2.239636,15.3434
fasterq-dumpid0000002,fasterq-dump,worker-4,48,1200,460.800000,422.400000,1.090909091,119.196000,130.032000,28.4833
bowtie2id0000003,bowtie2,worker-3,48,1396,536.064000,422.400000,1.269090909,50.617000,64.237575,112.4879
fasterq-dumpid0000004,fasterq-dump,worker-4,48,1200,460.800000,422.400000,1.090909091,139.649000,152.344364,12.0287
bowtie2id0000005,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,27.069000,46.878586,104.7028
fasterq-dumpid0000006,fasterq-dump,worker-4,48,1200,460.800000,422.400000,1.090909091,241.685000,263.656364,14.2888
bowtie2id0000007,bowtie2,worker-3,48,1396,536.064000,422.400000,1.269090909,52.829000,67.044804,115.2132
fasterq-dumpid0000008,fasterq-dump,worker-4,48,1200,460.800000,422.400000,1.090909091,257.154000,280.531636,10.9782
bowtie2id0000009,bowtie2,worker-3,48,1396,536.064000,422.400000,1.269090909,54.846000,69.604560,111.5214
fasterq-dumpid0000010,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,2093.231000,2656.500433,3.0077
bowtie2id0000011,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,94.668000,163.947764,120.4367
fasterq-dumpid0000012,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1271.563000,1613.729044,2.4232
bowtie2id0000013,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,62.029000,107.422950,119.3813
fasterq-dumpid0000014,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1500.139000,1903.812767,4.71
bowtie2id0000015,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,113.135000,195.929250,115.0678
fasterq-dumpid0000016,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1272.297000,1614.660556,2.604
bowtie2id0000017,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,54.396000,94.203982,111.9641
fasterq-dumpid0000018,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1162.988000,1475.937498,2.0534
bowtie2id0000019,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,36.364000,62.975836,112.3391
fasterq-dumpid0000020,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1402.218000,1779.542116,1.6524
bowtie2id0000021,bowtie2,worker-3,48,1396,536.064000,422.400000,1.269090909,35.056000,44.489251,111.1707
fasterq-dumpid0000022,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1565.334000,1986.551149,1.6858
bowtie2id0000023,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,34.680000,60.059455,122.7364
fasterq-dumpid0000024,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1886.382000,2393.990247,1.9081
bowtie2id0000025,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,53.588000,92.804673,120.5979
fasterq-dumpid0000026,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,137.561000,174.577415,17.4374
bowtie2id0000027,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,29.057000,50.321441,129.2081
fasterq-dumpid0000028,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,2325.004000,2950.641440,1.7482
bowtie2id0000029,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,59.011000,102.196323,117.2459
fasterq-dumpid0000030,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1858.751000,2358.923996,1.7595
bowtie2id0000031,bowtie2,worker-3,48,1396,536.064000,422.400000,1.269090909,46.729000,59.303349,108.2839
fasterq-dumpid0000032,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,5.712000,7.249047,12.605
bowtie2id0000033,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,3.958000,6.854536,7.3775
fasterq-dumpid0000034,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,7.119000,9.034658,9.285
bowtie2id0000035,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,4.598000,7.962900,6.6768
fasterq-dumpid0000036,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,2506.109000,3180.480149,1.7262
bowtie2id0000037,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,63.480000,109.935818,105.2804
fasterq-dumpid0000038,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,2107.795000,2674.983473,1.2981
bowtie2id0000039,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,45.791000,79.301686,112.3037
fasterq-dumpid0000040,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,249.454000,316.579804,7.9197
bowtie2id0000041,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,33.124000,57.364745,103.6831
fasterq-dumpid0000042,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,232.477000,295.034447,20.1512
bowtie2id0000043,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,65.108000,112.755218,117.6522
fasterq-dumpid0000044,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,203.020000,257.650836,12.3323
bowtie2id0000045,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,31.979000,55.381814,122.4303
fasterq-dumpid0000046,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1687.289000,2141.323131,1.761
bowtie2id0000047,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,42.348000,73.339036,116.6194
fasterq-dumpid0000048,fasterq-dump,worker-3,48,1396,536.064000,422.400000,1.269090909,1578.857000,2003.713065,2.2295
bowtie2id0000049,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,65.448000,113.344036,120.8425
fasterq-dumpid0000050,fasterq-dump,worker-2,48,1905,731.520000,422.400000,1.731818182,1044.507000,1808.896214,2.1231
bowtie2id0000051,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,37.448000,64.853127,108.2995
fasterq-dumpid0000052,fasterq-dump,worker-2,48,1905,731.520000,422.400000,1.731818182,1588.957000,2751.784623,1.7917
bowtie2id0000053,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,53.418000,92.510264,118.7708
fasterq-dumpid0000054,fasterq-dump,worker-2,48,1905,731.520000,422.400000,1.731818182,1377.895000,2386.263614,1.463
bowtie2id0000055,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,33.505000,58.024568,119.4508
fasterq-dumpid0000056,fasterq-dump,worker-2,48,1905,731.520000,422.400000,1.731818182,196.824000,340.863382,1.5298
bowtie2id0000057,bowtie2,worker-2,48,1905,731.520000,422.400000,1.731818182,7.532000,13.044055,58.8688
