source,target,data_mb,data_bytes,files
sg1iterdeconid0000079,wrappersiftstfbymisfitid0001101,0.004728000,4728,i45a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000076,wrappersiftstfbymisfitid0001101,0.008824000,8824,fs10-zd-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000075,wrappersiftstfbymisfitid0001101,0.002680000,2680,d08-xt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000078,wrappersiftstfbymisfitid0001101,0.004728000,4728,h46a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000077,wrappersiftstfbymisfitid0001101,0.004728000,4728,b946-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000083,wrappersiftstfbymisfitid0001101,0.002680000,2680,b019-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000082,wrappersiftstfbymisfitid0001101,0.008824000,8824,958a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000085,wrappersiftstfbymisfitid0001101,0.004728000,4728,a27-xd-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000084,wrappersiftstfbymisfitid0001101,0.004728000,4728,x43a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000081,wrappersiftstfbymisfitid0001101,0.002680000,2680,b027-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000080,wrappersiftstfbymisfitid0001101,0.004728000,4728,sm19-xi-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000087,wrappersiftstfbymisfitid0001101,0.002680000,2680,b001-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000086,wrappersiftstfbymisfitid0001101,0.004728000,4728,a18-xd-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000089,wrappersiftstfbymisfitid0001101,0.004728000,4728,knw-az-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000088,wrappersiftstfbymisfitid0001101,0.004728000,4728,j39a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000094,wrappersiftstfbymisfitid0001101,0.002680000,2680,d27-xt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000093,wrappersiftstfbymisfitid0001101,0.004728000,4728,sm21-xi-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000096,wrappersiftstfbymisfitid0001101,0.004728000,4728,p50a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000095,wrappersiftstfbymisfitid0001101,0.008824000,8824,kbs-iu-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000090,wrappersiftstfbymisfitid0001101,0.004728000,4728,sc12-xi-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000092,wrappersiftstfbymisfitid0001101,0.004728000,4728,sm34-xi-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000091,wrappersiftstfbymisfitid0001101,0.004728000,4728,isa-ci-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000058,wrappersiftstfbymisfitid0001101,0.004728000,4728,h41a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000057,wrappersiftstfbymisfitid0001101,0.002680000,2680,d03-xt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000299,wrappersiftstfbymisfitid0001101,0.004728000,4728,h43a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000059,wrappersiftstfbymisfitid0001101,0.004728000,4728,sm18-xi-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000054,wrappersiftstfbymisfitid0001101,0.017016000,17016,pig2-xc-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000296,wrappersiftstfbymisfitid0001101,0.008824000,8824,gumo-iu-10_ldsp.lht_iter_g1.stf
sg1iterdeconid0000053,wrappersiftstfbymisfitid0001101,0.004728000,4728,s22a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000295,wrappersiftstfbymisfitid0001101,0.004728000,4728,r45a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000056,wrappersiftstfbymisfitid0001101,0.008824000,8824,kono-iu-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000298,wrappersiftstfbymisfitid0001101,0.002680000,2680,b011-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000055,wrappersiftstfbymisfitid0001101,0.004728000,4728,t42a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000297,wrappersiftstfbymisfitid0001101,0.008824000,8824,fiesa-ch-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000061,wrappersiftstfbymisfitid0001101,0.004728000,4728,m54a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000060,wrappersiftstfbymisfitid0001101,0.004728000,4728,i41a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000063,wrappersiftstfbymisfitid0001101,0.004728000,4728,121a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000062,wrappersiftstfbymisfitid0001101,0.008824000,8824,tpub-tw-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000069,wrappersiftstfbymisfitid0001101,0.004728000,4728,h47a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000068,wrappersiftstfbymisfitid0001101,0.002680000,2680,hda-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000065,wrappersiftstfbymisfitid0001101,0.017016000,17016,uoss-ii-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000064,wrappersiftstfbymisfitid0001101,0.008824000,8824,cel-mn-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000067,wrappersiftstfbymisfitid0001101,0.004728000,4728,y41a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000066,wrappersiftstfbymisfitid0001101,0.004728000,4728,bill-iu-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000072,wrappersiftstfbymisfitid0001101,0.017016000,17016,qrz-nz-10_ldsp.lht_iter_g1.stf
sg1iterdeconid0000071,wrappersiftstfbymisfitid0001101,0.002680000,2680,d04e-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000074,wrappersiftstfbymisfitid0001101,0.002680000,2680,l29-xt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000073,wrappersiftstfbymisfitid0001101,0.017016000,17016,mpat-yt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000070,wrappersiftstfbymisfitid0001101,0.004728000,4728,g42a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000098,wrappersiftstfbymisfitid0001101,0.004728000,4728,ccm-iu-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000097,wrappersiftstfbymisfitid0001101,0.002680000,2680,o02d-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000099,wrappersiftstfbymisfitid0001101,0.008824000,8824,ptga-iu-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000913,wrappersiftstfbymisfitid0001101,0.008824000,8824,fs12-zd-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000912,wrappersiftstfbymisfitid0001101,0.002680000,2680,d05-xt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000915,wrappersiftstfbymisfitid0001101,0.004728000,4728,u44a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000914,wrappersiftstfbymisfitid0001101,0.017016000,17016,hiz-nz-10_ldsp.lht_iter_g1.stf
sg1iterdeconid0000911,wrappersiftstfbymisfitid0001101,0.004728000,4728,149a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000910,wrappersiftstfbymisfitid0001101,0.004728000,4728,o48a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000917,wrappersiftstfbymisfitid0001101,0.008824000,8824,blun-nu-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000916,wrappersiftstfbymisfitid0001101,0.004728000,4728,plal-nm-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000919,wrappersiftstfbymisfitid0001101,0.004728000,4728,b086-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000918,wrappersiftstfbymisfitid0001101,0.004728000,4728,tuleg-dk-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000924,wrappersiftstfbymisfitid0001101,0.004728000,4728,b076-pb-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000923,wrappersiftstfbymisfitid0001101,0.004728000,4728,e43a-ta-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000926,wrappersiftstfbymisfitid0001101,0.001656000,1656,bbb-cn-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000925,wrappersiftstfbymisfitid0001101,0.002680000,2680,d14-xt-_ldsp.lht_iter_g1.stf
sg1iterdeconid0000920,wrappersiftstfbymisfitid0001101,0.004728000,4728,sdco-us-00_ldsp.lht_iter_g1.stf
sg1iterdeconid0000922,wrappersiftstfbymisfitid0001101,0.004728000,4728,f39a-ta-_ldsp.lht_iter_g1.stf
