activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
mprojectid0000001,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,602.918000,657.728727,99.3326
mprojectid0000002,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,808.036000,881.493818,99.9203
mprojectid0000003,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,815.043000,889.137818,99.7549
mprojectid0000004,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,800.008000,1890.928000,99.7486
mprojectid0000005,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,829.165000,1959.844545,99.6478
mprojectid0000006,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,773.409000,843.718909,99.8695
mprojectid0000007,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,751.618000,819.946909,99.8596
mprojectid0000008,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,738.956000,806.133818,99.9445
mprojectid0000009,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,593.324000,647.262545,98.2876
mprojectid0000010,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,747.461000,815.412000,99.8654
mprojectid0000011,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,769.348000,839.288727,99.9089
mprojectid0000012,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,773.623000,843.952364,99.1337
mprojectid0000013,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,744.463000,812.141455,99.2243
mprojectid0000014,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,679.993000,741.810545,99.8235
mprojectid0000015,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,721.693000,787.301455,99.9317
mprojectid0000016,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,702.372000,766.224000,99.544
mprojectid0000017,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,630.597000,1490.502000,97.6594
mprojectid0000018,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,779.610000,1842.714545,99.824
mprojectid0000019,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,832.142000,1966.881091,99.867
mprojectid0000020,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,791.953000,863.948727,99.7384
mprojectid0000021,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,820.489000,895.078909,99.8177
mprojectid0000022,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,834.059000,909.882545,99.734
mprojectid0000023,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,826.142000,901.245818,99.9273
mprojectid0000024,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,714.187000,779.113091,99.9125
mprojectid0000025,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,589.032000,642.580364,99.8878
mprojectid0000026,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,795.330000,1879.870909,99.8674
mprojectid0000027,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,826.829000,1954.323091,99.7113
mprojectid0000028,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,787.352000,858.929455,99.8712
mprojectid0000029,mproject,compute-4,48,1200,460.800000,422.400000,1.090909091,774.674000,845.098909,99.9091
mprojectid0000030,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,805.637000,1904.232909,99.7711
mprojectid0000031,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,842.492000,1991.344727,98.875
mprojectid0000032,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,729.192000,1723.544727,99.9853
mprojectid0000033,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,571.610000,623.574545,99.8935
mprojectid0000034,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,823.739000,1947.019455,99.4574
mprojectid0000035,mproject,compute-3,48,2600,998.400000,422.400000,2.363636364,820.099000,1938.415818,99.8128
mprojectid0000036,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,675.756000,737.188364,99.8427
mprojectid0000037,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,752.279000,820.668000,99.8689
mprojectid0000038,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,725.737000,791.713091,99.9296
mprojectid0000039,mproject,compute-7,48,1200,460.800000,422.400000,1.090909091,845.264000,922.106182,99.5743
mprojectid0000040,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,621.879000,678.413455,99.9926
mprojectid0000041,mproject,compute-5,48,1200,460.800000,422.400000,1.090909091,1179.454000,1286.677091,99.4171
