source,target,data_mb,data_bytes,files
mprojectid0000001,mdifffitid0000065,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000002,mdifffitid0000065,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000001,mdifffitid0000066,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000003,mdifffitid0000066,106.427520000,106427520,pposs2ukstu_blue_001_003.fits|pposs2ukstu_blue_001_003_area.fits
mprojectid0000001,mdifffitid0000067,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000004,mdifffitid0000067,106.387200000,106387200,pposs2ukstu_blue_001_004.fits|pposs2ukstu_blue_001_004_area.fits
mprojectid0000001,mdifffitid0000068,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000005,mdifffitid0000068,106.508160000,106508160,pposs2ukstu_blue_001_005.fits|pposs2ukstu_blue_001_005_area.fits
mprojectid0000006,mdifffitid0000069,106.554240000,106554240,pposs2ukstu_blue_001_006.fits|pposs2ukstu_blue_001_006_area.fits
mprojectid0000001,mdifffitid0000069,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000007,mdifffitid0000070,106.594560000,106594560,pposs2ukstu_blue_001_007.fits|pposs2ukstu_blue_001_007_area.fits
mprojectid0000001,mdifffitid0000070,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000008,mdifffitid0000071,57.392640000,57392640,pposs2ukstu_blue_001_008.fits|pposs2ukstu_blue_001_008_area.fits
mprojectid0000001,mdifffitid0000071,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
