activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
baselinecyclesid0000001,baseline_cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,48.476000,63.591698,4.592
cyclesid0000002,cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,5.762000,7.558696,26.9698
fertilizerincreasecyclesid0000003,fertilizer_increase_cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,5.414000,7.102184,29.276
cyclesfertilizerincreaseoutputparserid0000004,cycles_fertilizer_increase_output_parser,compute-3,48,1443,554.112000,422.400000,1.311818182,0.046000,0.060344,97.8261
baselinecyclesid0000005,baseline_cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,4.417000,5.794301,55.6939
cyclesid0000006,cycles,compute-7,48,1200,460.800000,422.400000,1.090909091,1.753000,1.912364,100.0
fertilizerincreasecyclesid0000007,fertilizer_increase_cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,1.753000,1.915551,100.0
cyclesfertilizerincreaseoutputparserid0000008,cycles_fertilizer_increase_output_parser,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,0.041000,0.044802,100.0
baselinecyclesid0000009,baseline_cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,2.965000,3.239936,100.0
cyclesid0000010,cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,2.829000,3.711134,63.3793
fertilizerincreasecyclesid0000011,fertilizer_increase_cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,3.308000,4.339495,57.1947
cyclesfertilizerincreaseoutputparserid0000012,cycles_fertilizer_increase_output_parser,compute-7,48,1200,460.800000,422.400000,1.090909091,0.057000,0.062182,98.2456
baselinecyclesid0000013,baseline_cycles,compute-5,48,1200,460.800000,422.400000,1.090909091,1.715000,1.870909,100.0583
cyclesid0000014,cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,1.490000,1.628164,100.0671
fertilizerincreasecyclesid0000015,fertilizer_increase_cycles,compute-5,48,1200,460.800000,422.400000,1.090909091,1.486000,1.621091,100.0
cyclesfertilizerincreaseoutputparserid0000016,cycles_fertilizer_increase_output_parser,compute-5,48,1200,460.800000,422.400000,1.090909091,0.049000,0.053455,97.9592
baselinecyclesid0000017,baseline_cycles,compute-7,48,1200,460.800000,422.400000,1.090909091,2.597000,2.833091,91.4902
cyclesid0000018,cycles,compute-7,48,1200,460.800000,422.400000,1.090909091,2.449000,2.671636,72.8461
fertilizerincreasecyclesid0000019,fertilizer_increase_cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,1.732000,1.892604,100.0
cyclesfertilizerincreaseoutputparserid0000020,cycles_fertilizer_increase_output_parser,compute-3,48,1443,554.112000,422.400000,1.311818182,0.050000,0.065591,100.0
baselinecyclesid0000021,baseline_cycles,compute-3,48,1443,554.112000,422.400000,1.311818182,3.049000,3.999734,100.0
cyclesid0000022,cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,1.910000,2.087109,92.6178
fertilizerincreasecyclesid0000023,fertilizer_increase_cycles,compute-7,48,1200,460.800000,422.400000,1.090909091,2.136000,2.330182,83.3333
cyclesfertilizerincreaseoutputparserid0000024,cycles_fertilizer_increase_output_parser,compute-3,48,1443,554.112000,422.400000,1.311818182,0.133000,0.174472,39.0977
baselinecyclesid0000025,baseline_cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,1.734000,1.894789,100.0
cyclesid0000026,cycles,compute-5,48,1200,460.800000,422.400000,1.090909091,3.163000,3.450545,48.6247
fertilizerincreasecyclesid0000027,fertilizer_increase_cycles,compute-7,48,1200,460.800000,422.400000,1.090909091,1.494000,1.629818,100.0669
cyclesfertilizerincreaseoutputparserid0000028,cycles_fertilizer_increase_output_parser,compute-3,48,1443,554.112000,422.400000,1.311818182,0.058000,0.076085,100.0
baselinecyclesid0000029,baseline_cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,2.339000,2.555889,100.0428
cyclesid0000030,cycles,cc-worker-5,48,1202,461.568000,422.400000,1.092727273,1.766000,1.929756,99.8867
