scenario_id,algorithm,runs,feasible_ratio,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,292.983000,292.983000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.955367,668.721033,45.552314,0.000000
cluster_homo,prism_cc_cost,30,1.000000,292.983000,292.983000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.955367,674.388333,45.552314,0.000000
cluster_homo,heft_classic,30,0.000000,538.100000,538.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.497667,0.000000,0.000000
cluster_hetero,prism_cc_time,30,1.000000,299.947233,293.451000,9.399412,3.363537,0.000000,0.000000,0.000000,0.000000,72.080533,727.756767,49.333152,0.000000
cluster_hetero,prism_cc_cost,30,1.000000,299.947233,293.451000,9.399412,3.363537,0.000000,0.000000,0.000000,0.000000,72.080533,738.317067,49.333152,0.000000
cluster_hetero,heft_classic,30,0.000000,591.999000,591.999000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.592967,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,106.589133,107.151000,4.079243,1.459738,0.758135,0.810747,0.184851,0.066148,22.299333,1039.728633,41.941754,60.318470
cloud_homo,prism_cc_cost,30,1.000000,114.222567,112.202000,5.959842,2.132702,0.259145,0.248527,0.037958,0.013583,83.759767,1050.704400,37.783884,86.436082
cloud_homo,heft_classic,30,0.000000,183.590000,183.590000,0.000000,0.000000,1.910549,1.910549,0.000000,0.000000,0.000000,0.827967,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,110.281067,108.089000,3.287012,1.176242,0.763334,0.773713,0.056736,0.020303,28.597700,980.940733,48.590990,60.864934
cloud_hetero,prism_cc_cost,30,1.000000,141.575133,136.497000,15.771448,5.643740,0.314937,0.364762,0.075300,0.026946,108.888267,987.040467,34.002837,83.853650
cloud_hetero,heft_classic,30,0.000000,214.517000,214.517000,0.000000,0.000000,1.950512,1.950512,0.000000,0.000000,0.000000,0.820167,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,108.644500,107.019500,2.039198,0.729717,0.555076,0.555065,0.016037,0.005739,27.003900,952.802467,56.574161,52.135045
hybrid_homo,prism_cc_cost,30,1.000000,301.229067,293.549000,11.100964,3.972429,0.000000,0.000000,0.000000,0.000000,137.046467,946.070467,-20.403010,100.000000
hybrid_homo,heft_classic,30,0.000000,250.184000,250.184000,0.000000,0.000000,1.159671,1.159671,0.000000,0.000000,0.000000,0.765900,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,116.239633,112.247000,7.233703,2.588547,0.293800,0.240781,0.120700,0.043192,62.321633,860.220867,59.408859,71.968404
hybrid_hetero,prism_cc_cost,30,1.000000,295.207267,318.695000,56.500141,20.218316,0.017799,0.000000,0.054311,0.019435,160.420967,861.950533,-3.087041,98.301760
hybrid_hetero,heft_classic,30,0.000000,286.367000,286.367000,0.000000,0.000000,1.048103,1.048103,0.000000,0.000000,0.000000,0.694033,0.000000,0.000000
